,year,order,DBCODE,ENTITY,COMPLEX,MEADOW,DATE,WATCH,OBSERVER,PLOT,START,X,MINUTE,CLOUDS,WIND,TEMP,STATUS,NO_INT,PLTSP_CODE,PLTSP_NAME,VISSP_CODE,VISSP_NAME,VECTOR.GUILD,COLLECTION.NUMBER,NOTES,NOTES.1,NOTES.2,NOTES.3,NOTES.4,NOTES.5,NOTES.6,NOTES.7,NOTES.8
10023,14,NA,SA026,1,Carpenter ,CPM,7/1/2014,1,RD,1,1230,NA,2,S,B,30,1,1,ZIGIVENA,Zigidinus venanosus,NA,,NA,34084,,NA,NA,NA,NA,NA,NA,NA,NA
10061,14,NA,SA026,1,Carpenter ,CPM,7/1/2014,1,RD,6,1132,NA,12,S,B,31,1,2,ZIGIVENA,Zigidinus Venanosus,NA,,NA,34101,REF,NA,NA,NA,NA,NA,NA,NA,NA
4262,14,NA,SA026,1,Lookout,LM,6/30/2014,NA,IP,1,1135,NA,2,S,St,NA,1,10,ZIGAVENE,Zigadenus venenosus,NA,,NA,34081,,,NA,NA,NA,NA,NA,NA,NA
3564,14,NA,SA026,1,Lookout,LM,6/30/2014,NA,IP,1,1135,NA,7,S,St,NA,1,30,ZIGAVENE,Zigadenus venenosus,NA,,NA,34082,REF - syphid A,,NA,NA,NA,NA,NA,NA,NA
3590,14,NA,SA026,1,Lookout,LM,6/30/2014,NA,IP,1,1135,NA,7,S,St,NA,1,30,ZIGAVENE,Zigadenus venenosus,NA,,NA,34082,syrphid A,,NA,NA,NA,NA,NA,NA,NA
3565,14,NA,SA026,1,Lookout,LM,6/30/2014,NA,IP,1,1135,NA,8,S,St,NA,1,30,ZIGAVENE,Zigadenus venenosus,NA,,NA,34082,REF - syphid A,,NA,NA,NA,NA,NA,NA,NA
4263,14,NA,SA026,1,Lookout,LM,6/30/2014,NA,IP,1,1135,NA,8,S,St,NA,1,30,ZIGAVENE,Zigadenus venenosus,NA,,NA,34067,,,NA,NA,NA,NA,NA,NA,NA
3566,14,NA,SA026,1,Lookout,LM,6/30/2014,NA,IP,1,1135,NA,9,S,St,NA,1,10,ZIGAVENE,Zigadenus venenosus,NA,,NA,34082,REF - syphid A,,NA,NA,NA,NA,NA,NA,NA
3567,14,NA,SA026,1,Lookout,LM,6/30/2014,NA,IP,1,1135,NA,9,S,St,NA,1,10,ZIGAVENE,Zigadenus venenosus,NA,,NA,34082,REF - syphid A,,NA,NA,NA,NA,NA,NA,NA
3568,14,NA,SA026,1,Lookout,LM,6/30/2014,NA,IP,1,1135,NA,9,S,St,NA,1,20,ZIGAVENE,Zigadenus venenosus,NA,,NA,34082,REF - syphid A,,NA,NA,NA,NA,NA,NA,NA
3569,14,NA,SA026,1,Lookout,LM,6/30/2014,NA,IP,1,1135,NA,10,S,St,NA,1,10,ZIGAVENE,Zigadenus venenosus,NA,,NA,34082,REF - syphid A,,NA,NA,NA,NA,NA,NA,NA
3627,14,NA,SA026,1,Lookout,LM,6/30/2014,NA,IP,1,1135,NA,10,S,St,NA,1,10,ZIGAVENE,Zigadenus venenosus,NA,,NA,NA,Unknown Big Black Fly,,NA,NA,NA,NA,NA,NA,NA
3570,14,NA,SA026,1,Lookout,LM,6/30/2014,NA,IP,1,1135,NA,11,S,St,NA,1,10,ZIGAVENE,Zigadenus venenosus,NA,,NA,34082,REF - syphid A,,NA,NA,NA,NA,NA,NA,NA
3571,14,NA,SA026,1,Lookout,LM,6/30/2014,NA,IP,1,1135,NA,11,S,St,NA,1,10,ZIGAVENE,Zigadenus venenosus,NA,,NA,34082,REF - syphid A,,NA,NA,NA,NA,NA,NA,NA
3572,14,NA,SA026,1,Lookout,LM,6/30/2014,NA,IP,1,1135,NA,12,S,St,NA,1,10,ZIGAVENE,Zigadenus venenosus,NA,,NA,34082,REF - syphid A,,NA,NA,NA,NA,NA,NA,NA
3573,14,NA,SA026,1,Lookout,LM,6/30/2014,NA,IP,1,1135,NA,12,S,St,NA,1,10,ZIGAVENE,Zigadenus venenosus,NA,,NA,34082,REF - syphid A,,NA,NA,NA,NA,NA,NA,NA
3574,14,NA,SA026,1,Lookout,LM,6/30/2014,NA,IP,1,1135,NA,12,S,St,NA,1,10,ZIGAVENE,Zigadenus venenosus,NA,,NA,34082,REF - syphid A,,NA,NA,NA,NA,NA,NA,NA
3575,14,NA,SA026,1,Lookout,LM,6/30/2014,NA,IP,1,1135,NA,13,S,St,NA,1,10,ZIGAVENE,Zigadenus venenosus,NA,,NA,34082,REF - syphid A,,NA,NA,NA,NA,NA,NA,NA
4264,14,NA,SA026,1,Lookout,LM,6/30/2014,NA,IP,1,1135,NA,15,S,St,NA,1,1,ZIGAVENE,Zigadenus venenosus,NA,,NA,34082,,,NA,NA,NA,NA,NA,NA,NA
4265,14,NA,SA026,1,Lookout,LM,6/30/2014,NA,IP,1,1135,NA,15,S,St,NA,1,1,ZIGAVENE,Zigadenus venenosus,NA,,NA,34082,,,NA,NA,NA,NA,NA,NA,NA
4266,14,NA,SA026,1,Lookout,LM,6/30/2014,NA,IP,1,1135,NA,15,S,St,NA,1,2,ZIGAVENE,Zigadenus venenosus,NA,,NA,34082,,,NA,NA,NA,NA,NA,NA,NA
4267,14,NA,SA026,1,Lookout,LM,6/30/2014,NA,IP,1,1135,NA,15,S,St,NA,1,2,ZIGAVENE,Zigadenus venenosus,NA,,NA,34082,,,NA,NA,NA,NA,NA,NA,NA
4268,14,NA,SA026,1,Lookout,LM,6/30/2014,NA,IP,2,1245,NA,14,S,St,32,1,5,ZIGAVENE,Zigadenus venenosus,NA,,NA,34077,,,NA,NA,NA,NA,NA,NA,NA
3591,14,NA,SA026,1,Lookout,LM,6/30/2014,NA,IP,5,1400,NA,2,S,St,NA,1,10,ZIGAVENE,Zigadenus venenosus,NA,,NA,NA,Syrphid A,,NA,NA,NA,NA,NA,NA,NA
3592,14,NA,SA026,1,Lookout,LM,6/30/2014,NA,IP,5,1400,NA,11,S,St,NA,1,10,ZIGAVENE,Zigadenus venenosus,NA,,NA,NA,Syrphid A,,NA,NA,NA,NA,NA,NA,NA
656,14,NA,SA026,1,Lookout,LM,6/30/2014,1,JL,3,1326,NA,2,S,B ,32,1,1,ZIGAVENE,Zigadenus venenosus,NA,NA,NA,34041,,NA,NA,NA,NA,NA,NA,NA,NA
657,14,NA,SA026,1,Lookout,LM,6/30/2014,1,JL,3,1326,NA,3,S,St,32,1,2,ZIGAVENE,Zigadenus venenosus,NA,NA,NA,34041,,NA,NA,NA,NA,NA,NA,NA,NA
659,14,NA,SA026,1,Lookout,LM,6/30/2014,1,JL,3,1326,NA,4,S,St,32,1,1,ZIGAVENE,Zigadenus venenosus,NA,NA,NA,34053,,NA,NA,NA,NA,NA,NA,NA,NA
660,14,NA,SA026,1,Lookout,LM,6/30/2014,1,JL,3,1326,NA,5,S,St,32,1,1,ZIGAVENE,Zigadenus venenosus,NA,NA,NA,34041,,NA,NA,NA,NA,NA,NA,NA,NA
661,14,NA,SA026,1,Lookout,LM,6/30/2014,1,JL,3,1326,NA,6,S,B,32,1,1,ZIGAVENE,Zigadenus venenosus,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,NA,NA
662,14,NA,SA026,1,Lookout,LM,6/30/2014,1,JL,3,1326,NA,7,S,St,32,1,1,ZIGAVENE,Zigadenus venenosus,NA,NA,NA,34041,,NA,NA,NA,NA,NA,NA,NA,NA
668,14,NA,SA026,1,Lookout,LM,6/30/2014,1,JL,3,1326,NA,12,S,B,32,1,1,ZIGAVENE,Zigadenus venenosus,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,NA,NA
669,14,NA,SA026,1,Lookout,LM,6/30/2014,1,JL,3,1326,NA,13,S,St ,32,1,3,ZIGAVENE,Zigadenus venenosus,NA,NA,NA,34041,,NA,NA,NA,NA,NA,NA,NA,NA
670,14,NA,SA026,1,Lookout,LM,6/30/2014,1,JL,3,1326,NA,13,S,St ,32,1,1,ZIGAVENE,Zigadenus venenosus,NA,NA,NA,34045,,NA,NA,NA,NA,NA,NA,NA,NA
673,14,NA,SA026,1,Lookout,LM,6/30/2014,1,JL,3,1326,NA,14,S,St ,32,1,3,ZIGAVENE,Zigadenus venenosus,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,NA,NA
675,14,NA,SA026,1,Lookout,LM,6/30/2014,1,JL,3,1326,NA,15,S,St ,32,1,4,ZIGAVENE,Zigadenus venenosus,NA,NA,NA,34046,,NA,NA,NA,NA,NA,NA,NA,NA
4923,14,NA,SA026,1,Lookout,LM,6/30/2014,1,LKB + KH,8,1251,NA,7,S,St,34,1,1,ZIGAVENE,Zigadenus venenosus,NA,NA,NA,NA,syrphid A,NA,NA,NA,NA,NA,NA,NA,NA
4943,14,NA,SA026,1,Lookout,LM,6/30/2014,1,LKB + KH,9,NA,NA,4,S,St,NA,1,1,ZIGAVENE,Zigadenus venenosus,NA,NA,NA,34034,all black fly,NA,NA,NA,NA,NA,NA,NA,NA
4944,14,NA,SA026,1,Lookout,LM,6/30/2014,1,LKB + KH,9,NA,NA,5,S,St,NA,1,1,ZIGAVENE,Zigadenus venenosus,NA,NA,NA,34175,black with yellow/white stripes all the way across,NA,NA,NA,NA,NA,NA,NA,NA
4945,14,NA,SA026,1,Lookout,LM,6/30/2014,1,LKB + KH,9,NA,NA,5,S,St,NA,1,1,ZIGAVENE,Zigadenus venenosus,NA,NA,NA,NA,syrphid A,NA,NA,NA,NA,NA,NA,NA,NA
